Morphology,Phase ,Ni ,Co ,Fe ,Al ,Mo ,Zn ,Mn ,Cr ,Cu,Mg,Nb,Sn,B,Ga,Al,Fe,Zn,La,WE
4,5,0.26,0,0,0,0,0.28,0,0,0.26,0,0,0.2,0,0,0,0,0,0,7
1,0,0,0,0,0,0.23,0,0.32,0.27,0,0,0.18,0,0,0,0,0,0,0,8
6,2,0,0.19,0.15,0,0.18,0,0,0,0.16,0.32,0,0,0,0,0,0,0,0,8
7,5,0,0.21,0,0,0.28,0,0.18,0,0,0,0,0.17,0,0.16,0,0,0,0,5
1,3,0,0,0.33,0,0.16,0.27,0,0,0,0,0,0,0,0.24,0.3,0.2,0.15,0.35,8
1,5,0,0.13,0,0.2,0,0.23,0,0.26,0.18,0,0,0,0,0,0,0,0,0,6
6,5,0.33,0.2,0,0.17,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,1
3,5,0,0,0.18,0.19,0,0.21,0,0,0.16,0,0,0,0,0.26,0,0,0,0,2
6,3,0.29,0,0,0,0,0,0.17,0.19,0,0.35,0,0,0,0,0.24,0.31,0.19,0.26,5
2,1,0,0.38,0,0,0,0,0,0.19,0.27,0,0,0,0,0.16,0.38,0.4,0.8,0.42,8
7,3,0,0,0.32,0.19,0.17,0,0,0,0,0,0,0,0.32,0,0.34,0.23,0.24,0.19,7
5,2,0.24,0,0,0,0.25,0,0.12,0.19,0,0,0,0.2,0,0,0,0,0,0,7
3,4,0,0.2,0.26,0,0,0.14,0,0.14,0,0,0,0.26,0,0,0,0,0,0,2
3,2,0,0,0,0.3,0.31,0,0,0.2,0,0.19,0,0,0,0,0,0,0,0,3
4,2,0.15,0,0,0.29,0,0,0,0.14,0.15,0,0,0,0,0.27,0,0,0,0,1
1,4,0,0,0,0,0.15,0.25,0,0,0.21,0.19,0,0,0.2,0,0,0,0,0,3
6,2,0,0,0,0,0,0.19,0.16,0,0.2,0.25,0,0,0,0.2,0,0,0,0,8
3,5,0.21,0,0,0,0.19,0,0.26,0,0.23,0,0,0,0.11,0,0,0,0,0,7
4,4,0,0,0,0,0,0.27,0,0,0.3,0,0.26,0,0,0.17,0,0,0,0,6
4,3,0,0,0,0.19,0,0,0.24,0.37,0.2,0,0,0,0,0,0.18,0.25,0.32,0.25,6
2,4,0,0,0,0.22,0.16,0,0,0,0,0.2,0,0.21,0,0.21,0,0,0,0,6
5,3,0,0,0.22,0,0,0,0,0,0,0.14,0.38,0,0,0.26,0.39,0.29,0.16,0.16,3
3,2,0,0.15,0,0,0,0,0.13,0.29000000000000004,0,0.15,0.28,0,0,0,0,0,0,0,8
7,2,0,0.23,0,0,0.2,0.22,0.17,0,0,0,0,0.18,0,0,0,0,0,0,2
7,5,0,0,0,0,0.15,0,0,0.28,0.25,0,0.13,0,0.19,0,0,0,0,0,1
3,1,0.23,0,0,0,0.11,0,0,0,0,0,0.24,0.23,0,0.19,0.53,0.28,0.49,0.7,8
5,5,0.17,0,0,0,0.2,0,0,0.24,0.18,0.21,0,0,0,0,0,0,0,0,8
3,0,0.3,0.23,0,0,0,0.35000000000000003,0,0,0,0.12,0,0,0,0,0,0,0,0,1
1,5,0.24,0,0,0,0,0.17,0,0.24,0,0.35,0,0,0,0,0,0,0,0,5
4,2,0,0,0,0,0.21,0.32,0.32,0,0.15,0,0,0,0,0,0,0,0,0,2
1,0,0,0,0.22,0.13,0,0,0.29,0.21,0.15,0,0,0,0,0,0,0,0,0,3
1,5,0,0.23,0.25,0.32,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2
7,0,0,0,0.18,0,0,0.23,0,0.11,0,0.23,0.25,0,0,0,0,0,0,0,3
5,2,0.12,0,0.3,0.18,0,0,0,0.13,0,0.27,0,0,0,0,0,0,0,0,6
3,4,0,0,0,0.19,0.18,0,0,0.26,0.24,0,0,0.13,0,0,0,0,0,0,6
6,1,0.23,0,0.15,0.16,0.31,0,0.15,0,0,0,0,0,0,0,0.18,0.71,0.55,0.56,7
2,4,0.21,0.26,0,0,0,0.2,0,0,0,0.11,0,0,0.22,0,0,0,0,0,3
7,0,0,0.17,0,0,0.38,0,0.32,0,0,0.13,0,0,0,0,0,0,0,0,7
5,5,0,0,0.24,0,0,0.13,0,0.28,0.11,0,0,0.24,0,0,0,0,0,0,6
2,4,0,0,0.14,0,0,0.35,0.3,0,0.21,0,0,0,0,0,0,0,0,0,5
4,3,0.24,0.18,0,0.24,0,0,0,0.34,0,0,0,0,0,0,0.12,0.16,0.43,0.29,8
1,5,0.17,0,0.28,0,0,0,0.22,0,0.33,0,0,0,0,0,0,0,0,0,2
7,3,0,0.34,0,0,0,0.22,0.2,0,0.24,0,0,0,0,0,0.12,0.29,0.36,0.23,1
1,5,0,0.25,0.22,0.17,0.19,0,0,0.17,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0.25,0,0.2,0,0.18,0.24,0,0,0.13,0,0,0,0,0,8
5,1,0.25,0,0,0,0,0.21,0,0,0.19,0,0.21,0,0.14,0,0.22,0.81,0.47,0.5,5
4,1,0.24,0.23,0,0.26,0,0,0,0,0.27,0,0,0,0,0,0.32,0.21,0.75,0.72,7
3,4,0,0,0.21,0,0.2,0,0,0.24000000000000002,0,0,0,0.13,0,0.22,0,0,0,0,4
2,2,0,0,0.35,0,0,0.18,0,0,0,0,0,0.2,0.27,0,0,0,0,0,2
5,0,0.16,0.25,0,0.32,0,0,0.13,0,0,0,0,0,0.14,0,0,0,0,0,6
2,2,0,0,0,0,0,0.15,0.33,0,0,0,0,0.21,0,0.31,0,0,0,0,3
5,5,0.29,0,0,0,0.15,0,0,0.19,0,0,0.37,0,0,0,0,0,0,0,2
4,2,0,0,0,0,0.12,0,0,0,0.34,0.3,0.24,0,0,0,0,0,0,0,5
6,5,0,0,0,0,0.35,0.36,0.15,0,0.14,0,0,0,0,0,0,0,0,0,3
6,0,0,0,0.26,0,0.16,0,0,0,0,0,0.28,0,0.3,0,0,0,0,0,8
2,3,0,0,0,0.2,0.27,0,0.14,0,0,0.14,0,0,0,0.25,0.21,0.33,0.24,0.22,3
1,0,0,0.22,0,0.21,0,0,0,0.23,0,0.33999999999999997,0,0,0,0,0,0,0,0,3
7,0,0,0.11,0,0,0.17,0.25,0,0,0,0,0.22,0,0.25,0,0,0,0,0,5
6,2,0,0,0.24,0,0.23,0,0.34,0,0.19,0,0,0,0,0,0,0,0,0,6
3,2,0,0.12,0,0,0,0,0.19,0.12,0,0.27,0,0.3,0,0,0,0,0,0,3
4,3,0.26,0,0,0,0,0,0,0,0.29,0,0.15,0,0.3,0,0.24,0.11,0.34,0.31,4
2,2,0,0,0,0,0,0.14,0.12,0,0,0.28,0.25,0.21,0,0,0,0,0,0,3
4,3,0.27,0.22,0,0,0,0,0,0.31,0.2,0,0,0,0,0,0.33,0.11,0.31,0.25,8
3,0,0,0,0,0.25,0,0.17,0,0,0,0,0.2,0.25,0,0.13,0,0,0,0,3
5,1,0,0,0.15,0,0,0.35,0,0,0,0,0.22,0,0,0.28,0.48,0.49,0.47,0.56,1
1,1,0,0.2,0.3,0.13,0,0.13,0,0.24,0,0,0,0,0,0,0.45,0.57,0.55,0.43,6
6,3,0,0,0,0,0,0.14,0.29,0,0.24,0.16,0,0,0.17,0,0.34,0.18,0.34,0.14,2
2,5,0.17,0,0.25,0.24,0,0,0,0,0,0.22,0,0,0,0.12,0,0,0,0,2
1,5,0,0,0,0,0,0.33,0.16,0.17,0,0,0,0,0,0.34,0,0,0,0,4
2,5,0.16,0,0,0,0,0.17,0,0,0,0.39,0.28,0,0,0,0,0,0,0,1
7,4,0,0,0,0.19,0,0.18,0.32,0.31,0,0,0,0,0,0,0,0,0,0,6
7,2,0.22,0,0,0,0,0,0,0,0,0.25,0.28,0,0.25,0,0,0,0,0,7
7,2,0.23,0.32,0.25,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,3
1,2,0.25,0,0.31,0,0.12,0,0,0,0.2,0,0,0,0.12,0,0,0,0,0,8
7,0,0,0.18,0,0,0,0,0,0.26,0.35,0,0,0.21,0,0,0,0,0,0,2
7,1,0.16,0,0.33,0.14,0,0,0,0,0,0.37,0,0,0,0,0.61,0.24,0.47,0.6799999999999999,4
7,0,0,0.16,0.26,0,0,0,0,0.25,0,0,0,0.33,0,0,0,0,0,0,5
5,0,0.21,0,0,0.23,0.18,0,0.16,0,0,0,0,0,0.22,0,0,0,0,0,8
6,2,0.23,0.2,0,0,0,0,0.22,0,0,0.1,0,0.25,0,0,0,0,0,0,2
5,3,0,0,0,0,0.14,0,0,0.2,0,0,0,0,0.35,0.31,0.43,0.16,0.13,0.28,7
5,4,0.19,0.24,0,0,0,0,0.18,0,0,0.13,0,0,0,0.26,0,0,0,0,7
2,0,0,0.19,0.3,0,0,0,0,0,0,0.21,0,0.3,0,0,0,0,0,0,8
1,5,0,0,0.21,0,0,0,0,0.14,0,0.17,0,0.23,0.25,0,0,0,0,0,5
4,2,0,0.26,0,0.12,0,0.25,0.12,0,0,0.25,0,0,0,0,0,0,0,0,4
2,3,0.21,0,0.21,0.24,0,0,0,0.34,0,0,0,0,0,0,0.35,0.13,0.22,0.3,3
4,4,0.17,0,0.25,0,0,0.2,0,0.15,0.23,0,0,0,0,0,0,0,0,0,4
2,0,0,0.19,0.21,0,0,0,0.23,0.2,0,0.17,0,0,0,0,0,0,0,0,1
6,0,0,0.34,0,0.24,0.22,0,0,0,0,0,0,0.2,0,0,0,0,0,0,4
2,3,0,0,0,0,0,0,0.2,0,0.21,0,0.33,0,0.26,0,0.28,0.16,0.17,0.39,6
7,3,0,0.26,0,0,0.13,0.23,0.14,0,0,0,0,0.24,0,0,0.14,0.16,0.39,0.31,1
6,2,0,0.17,0,0,0,0.41,0.27,0,0,0,0,0,0.15,0,0,0,0,0,3
6,0,0.24,0.14,0.12,0,0,0,0,0,0,0,0.23,0.27,0,0,0,0,0,0,6
4,4,0.09,0,0,0,0,0,0,0,0.18,0.27,0,0.2,0.26,0,0,0,0,0,2
4,0,0,0,0.19,0,0,0.35,0.23,0,0,0,0,0,0.23,0,0,0,0,0,4
4,5,0,0.3,0,0,0,0,0,0,0.18,0.26,0,0.26,0,0,0,0,0,0,4
1,3,0,0,0,0,0.26,0,0.26,0,0,0,0.3,0,0.18,0,0.14,0.26,0.15,0.45,2
3,3,0.23,0.18,0.24,0,0,0.22,0,0,0,0,0.13,0,0,0,0.19,0.37,0.2,0.24,1
5,5,0,0,0.18,0,0,0.27,0,0.27999999999999997,0.27,0,0,0,0,0,0,0,0,0,6
4,1,0,0.1,0,0,0,0,0,0.19,0.2,0,0,0,0.24,0.27,0.29,0.73,0.47,0.51,6
2,3,0,0,0.19,0,0,0,0,0.28,0,0,0,0,0.28,0.25,0.12,0.35,0.21,0.32,1
1,0,0,0,0.18,0.24,0.12,0,0.2,0,0,0,0,0,0.26,0,0,0,0,0,8
2,5,0.17,0.18,0,0,0,0,0.2,0,0.23,0,0.22,0,0,0,0,0,0,0,1
2,1,0,0,0.28,0.3,0,0,0,0.21,0,0.21,0,0,0,0,0.64,0.48,0.18,0.7,4
6,3,0,0,0.22,0,0.22999999999999998,0,0,0,0,0,0.23,0.2,0,0.12,0.23,0.19,0.39,0.19,8
4,0,0,0,0,0.24,0,0.17,0,0,0.23,0,0.36,0,0,0,0,0,0,0,4
6,0,0.2,0,0,0,0,0,0.27,0,0.26,0,0,0,0,0.27,0,0,0,0,7
5,5,0,0.27,0.23,0.29,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,1
4,1,0,0.21,0,0,0,0,0.33,0.17,0,0,0,0,0.29,0,0.6,0.36,0.61,0.43,2
6,4,0.24,0,0,0,0,0.26,0,0,0,0,0,0,0.27,0.23,0,0,0,0,6
1,0,0,0.18,0.33,0,0,0.31,0,0,0.18,0,0,0,0,0,0,0,0,0,6
4,0,0.26,0,0.17,0,0,0.19,0.25,0,0,0,0,0,0.13,0,0,0,0,0,5
2,5,0,0,0.17,0,0.34,0,0,0,0.18,0.31,0,0,0,0,0,0,0,0,3
3,2,0.23,0,0,0,0,0,0,0.15,0,0.27,0.15,0.2,0,0,0,0,0,0,5
2,1,0.27,0,0,0.22,0.2,0.15,0,0,0,0,0,0.16,0,0,0.68,0.33,0.36,0.63,3
5,4,0,0.27999999999999997,0,0,0.22,0.27,0,0.23,0,0,0,0,0,0,0,0,0,0,3
1,0,0,0,0.26,0,0.14,0.12,0,0,0,0,0.29,0,0,0.19,0,0,0,0,2
4,4,0,0,0,0.29,0,0,0.19,0,0,0.28,0,0,0.24,0,0,0,0,0,8
2,1,0,0,0,0,0,0,0.13,0,0.27,0,0.16,0.27,0,0.17,0.6,0.31,0.58,0.51,1
1,1,0,0,0,0,0.26,0,0.24,0,0,0,0.17,0.14,0,0.19,0.69,0.52,0.52,0.27,2
7,3,0,0.1,0,0.14,0,0.17,0.3,0,0,0,0.29,0,0,0,0.47,0.17,0.16,0.2,8
2,1,0,0,0,0,0,0.26,0.21,0.27,0.26,0,0,0,0,0,0.58,0.36,0.36,0.7,4
5,3,0,0.16,0,0.31,0,0,0,0,0,0,0,0,0.16,0.37,0.36,0.09,0.2,0.35,3
1,0,0,0.3,0.21,0,0,0,0,0,0,0,0,0.15,0.34,0,0,0,0,0,6
7,5,0.18,0.26,0,0,0,0,0.39,0,0,0,0,0,0.17,0,0,0,0,0,6
6,4,0,0,0,0,0.27,0,0,0,0,0,0.19,0.32,0.22,0,0,0,0,0,8
6,2,0.22,0,0,0,0,0.24,0.25,0,0,0.1,0,0.19,0,0,0,0,0,0,4
6,5,0,0,0,0.35,0,0,0,0.18,0.26,0,0,0,0,0.21,0,0,0,0,2
5,4,0,0,0,0,0,0,0.18,0.32,0.22,0,0,0,0,0.28,0,0,0,0,1
4,5,0.24,0,0,0,0,0,0,0.26,0.26,0,0,0,0,0.24,0,0,0,0,7
7,3,0,0.15,0.14,0,0,0,0.22,0,0.24,0,0,0,0,0.25,0.41,0.21,0.24,0.14,1
1,5,0,0,0,0.29,0,0.26,0,0,0,0,0.29,0,0,0.16,0,0,0,0,7
4,1,0,0,0.24,0,0.25,0.25,0,0,0.1,0,0.16,0,0,0,0.35,0.45,0.38,0.82,5
6,0,0,0.2,0,0,0.14,0.34,0,0,0,0,0.32,0,0,0,0,0,0,0,6
3,0,0,0,0.32,0,0,0,0,0.12,0,0,0.16,0.17,0,0.23,0,0,0,0,7
2,2,0,0,0.27,0,0.26,0,0,0,0.24,0.23,0,0,0,0,0,0,0,0,4
5,2,0.13,0.2,0,0,0,0.26,0,0,0,0,0,0.18,0,0.23,0,0,0,0,2
7,4,0.28,0,0,0.14,0,0.28,0,0,0,0,0,0.3,0,0,0,0,0,0,4
7,1,0,0.25,0,0,0,0,0,0,0,0.22,0,0.11,0.2,0.22,0.65,0.48,0.19,0.68,7
4,0,0.18,0.25,0,0,0,0.31,0,0.13,0,0,0.13,0,0,0,0,0,0,0,8
4,1,0,0,0,0,0.26,0.19,0,0,0,0.25,0.3,0,0,0,0.37,0.27,0.71,0.65,3
7,1,0,0.22,0,0.16,0,0,0.4,0,0,0,0,0,0.22,0,0.44,0.57,0.41,0.58,1
1,0,0,0.27,0,0.18,0,0.25,0,0,0,0,0.3,0,0,0,0,0,0,0,3
3,0,0.26,0,0.15,0,0.22,0,0,0,0,0.37,0,0,0,0,0,0,0,0,3
5,0,0.18,0,0,0,0,0,0,0.29000000000000004,0.27,0,0,0,0.26,0,0,0,0,0,8
3,0,0.24,0,0.15,0,0,0.17,0,0,0,0,0,0.2,0,0.24,0,0,0,0,6
2,4,0,0,0.12,0.15,0,0,0,0.23,0.31,0,0.19,0,0,0,0,0,0,0,2
1,4,0,0.15,0,0.22,0.27,0,0.16,0,0,0,0,0,0.2,0,0,0,0,0,6
3,5,0,0,0,0,0,0,0,0.26,0.18,0.15,0,0,0.27,0.14,0,0,0,0,3
4,4,0.25,0,0,0,0,0,0,0.23,0,0,0,0.31,0,0.21,0,0,0,0,6
1,3,0.21,0.22,0,0,0,0,0,0.24,0.15,0,0,0,0,0.18,0.28,0.25,0.1,0.37,2
4,1,0.32,0,0,0,0,0,0.32,0,0,0.22,0,0,0.14,0,0.21,0.77,0.63,0.39,6
3,1,0.31,0.14,0,0,0,0,0.24,0,0.31,0,0,0,0,0,0.62,0.27,0.64,0.47,7
2,4,0,0,0.28,0.16,0,0.23,0.33,0,0,0,0,0,0,0,0,0,0,0,8
6,0,0.25,0.22,0,0.2,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,8
3,5,0,0,0,0.1,0.21,0,0.27,0,0,0,0,0,0.22,0.2,0,0,0,0,1
2,5,0,0,0,0,0,0,0.15,0,0.21,0,0.14,0.27,0.23,0,0,0,0,0,1
3,0,0.22,0,0,0,0.19,0,0,0,0,0.22,0,0.37,0,0,0,0,0,0,1
1,4,0.13,0.24,0,0,0,0.21,0,0,0,0.2,0,0.22,0,0,0,0,0,0,5
4,3,0,0,0,0.2,0,0.14,0.21,0,0,0.19,0,0.26,0,0,0.5,0.14,0.14,0.22,2
3,4,0,0.26,0,0,0.24,0.22,0,0,0.28,0,0,0,0,0,0,0,0,0,1
6,2,0,0.28,0,0.19,0,0,0,0,0.32,0,0,0.21,0,0,0,0,0,0,1
4,5,0,0,0.18,0,0,0,0,0,0.46,0.18,0,0,0.18,0,0,0,0,0,4
1,2,0.25,0.22,0,0,0,0,0,0,0.26,0,0,0.27,0,0,0,0,0,0,8
3,0,0.22,0,0,0,0,0,0.27,0,0,0,0,0.2,0,0.31,0,0,0,0,8
5,4,0.2,0,0,0.24,0,0,0.29,0,0,0,0,0,0.27,0,0,0,0,0,8
2,5,0,0,0.23,0,0,0,0.22,0,0.14,0.13,0,0,0.28,0,0,0,0,0,2
6,2,0,0.32,0,0,0,0,0,0,0.27,0.2,0.21,0,0,0,0,0,0,0,3
3,0,0,0.21,0.22999999999999998,0,0,0,0.16,0,0,0.2,0,0,0,0.2,0,0,0,0,6
4,5,0,0,0.28,0,0.24,0.11,0.26,0,0,0,0,0,0.11,0,0,0,0,0,6
2,4,0.22,0,0.17,0.26,0.16,0,0,0,0.19,0,0,0,0,0,0,0,0,0,2
6,5,0.25,0.29,0,0,0,0,0,0,0,0.22,0,0,0,0.24,0,0,0,0,5
2,1,0.25,0.21,0,0,0,0,0.18,0,0,0,0,0,0,0.36,0.33,0.38,0.55,0.74,6
7,4,0.11,0.22999999999999998,0.24,0,0,0.23,0.19,0,0,0,0,0,0,0,0,0,0,0,5
6,4,0.18,0,0,0.16,0,0,0,0.17,0.24,0,0,0.25,0,0,0,0,0,0,1
6,5,0,0,0,0.24,0,0,0.25,0,0.24,0,0,0,0,0.27,0,0,0,0,8
6,4,0,0,0,0,0,0.13,0,0.18,0.17,0,0,0.24,0,0.27999999999999997,0,0,0,0,2
3,5,0,0,0,0,0.3,0.21,0,0,0,0,0,0,0.33,0.16,0,0,0,0,4
2,2,0,0.1,0,0.27,0,0,0.18,0,0.26,0,0,0.19,0,0,0,0,0,0,7
6,1,0,0,0,0,0,0.27,0,0.34,0.14,0,0.25,0,0,0,0.74,0.28,0.62,0.36,3
4,4,0.27,0,0,0,0,0,0.18,0,0,0.37,0,0.18,0,0,0,0,0,0,3
4,5,0.25,0,0.12,0,0,0,0,0.17,0,0,0,0,0.27,0.19,0,0,0,0,3
2,2,0.31,0.16,0,0,0,0.25,0.28,0,0,0,0,0,0,0,0,0,0,0,7
7,1,0.12,0.25,0,0,0.22,0,0,0,0,0.26,0,0,0,0.15,0.46,0.56,0.51,0.47,7
7,3,0,0.29,0,0,0,0.18,0,0,0,0,0.29,0,0,0.24,0.38,0.17,0.29,0.16,2
4,5,0,0,0,0,0,0,0.25,0.25,0,0,0,0.26,0,0.24,0,0,0,0,4
7,2,0.18,0,0,0,0.3,0,0,0,0,0,0,0,0.25,0.27,0,0,0,0,2
7,5,0,0.3,0,0,0,0,0.27,0.11,0,0,0,0.32,0,0,0,0,0,0,2
6,3,0,0,0,0,0,0,0,0.22,0.31,0.32,0,0,0,0.15,0.28,0.25,0.31,0.16,2
3,5,0.15,0.17,0.16,0,0,0,0,0,0,0.3,0,0,0.22,0,0,0,0,0,2
7,4,0,0.25,0,0,0,0,0,0,0,0.26,0,0.24,0.25,0,0,0,0,0,5
1,3,0.25,0.23,0,0.16,0.15,0,0,0,0,0.21,0,0,0,0,0.16,0.39,0.11,0.34,4
5,3,0,0,0,0,0,0.24,0.3,0,0,0.16,0,0,0.19,0.11,0.11,0.34,0.23,0.32,8
1,5,0,0.21,0,0,0.17,0.24,0,0,0,0,0,0,0.21,0.17,0,0,0,0,1
2,1,0,0,0,0,0.22,0.32,0,0,0.25,0,0,0.21,0,0,0.19,0.54,0.77,0.5,6
1,0,0.3,0,0.18,0,0,0,0.11,0,0,0.27,0.14,0,0,0,0,0,0,0,3
5,1,0,0,0,0,0.28,0.12,0.25,0,0.15,0,0,0.2,0,0,0.22,0.59,0.55,0.64,2
2,0,0.13,0.22,0.21,0,0,0.24,0.2,0,0,0,0,0,0,0,0,0,0,0,6
6,0,0,0.25,0,0.31,0,0,0.29,0,0,0.15,0,0,0,0,0,0,0,0,5
5,4,0,0,0,0.31,0,0,0,0,0.29,0,0.28,0,0.12,0,0,0,0,0,2
6,1,0,0,0.24,0,0,0,0,0,0.2,0.27,0,0.29,0,0,0.44,0.36,0.49,0.71,6
4,1,0.2,0.26,0,0,0,0,0,0,0,0.29000000000000004,0.25,0,0,0,0.49,0.53,0.71,0.27,3
3,0,0,0,0.21,0,0,0,0,0.3,0,0,0.21,0.28,0,0,0,0,0,0,5
4,3,0,0.25,0,0.15,0,0.2,0,0.18,0,0,0.22,0,0,0,0.33,0.33,0.07,0.27,8
3,5,0.19,0,0,0,0,0,0.26,0,0,0,0,0.29,0.15,0.11,0,0,0,0,1
2,3,0.26,0,0,0,0.29,0,0,0,0,0.19,0,0,0,0.26,0.17,0.33,0.18,0.32,3
7,5,0,0.27,0.25,0,0,0.28,0,0,0.2,0,0,0,0,0,0,0,0,0,6
2,4,0,0,0,0,0,0,0,0.12,0,0,0.29,0.28,0.31,0,0,0,0,0,6
4,0,0,0,0,0,0.26,0.13,0.2,0,0,0.16,0,0,0,0.25,0,0,0,0,1
4,0,0,0,0.16,0,0,0.17,0,0,0,0.16,0.23,0,0,0.28,0,0,0,0,4
7,2,0.26,0.3,0,0,0,0,0,0,0.26,0,0,0,0,0.18,0,0,0,0,8
7,3,0,0.27,0,0,0,0,0,0.2,0.17,0,0,0,0.1,0.26,0.2,0.41,0.11,0.28,4
1,3,0,0,0,0,0,0,0.25,0,0.26,0,0,0.33,0.16,0,0.3,0.24,0.18,0.28,6
1,2,0,0,0.13,0,0.16,0,0,0,0,0.17,0,0.21,0.33,0,0,0,0,0,1
7,0,0.24,0,0,0,0,0,0.19,0.13,0,0,0,0.28,0,0.16,0,0,0,0,6
5,5,0,0.23,0,0,0,0,0,0.32,0,0,0,0.31,0.14,0,0,0,0,0,2
4,3,0,0,0.14,0.18,0,0,0,0.22,0,0,0.19,0,0.27,0,0.24,0.3,0.28,0.18,2
6,1,0,0.21,0,0.21,0,0,0,0.27,0,0,0,0.31,0,0,0.39,0.72,0.58,0.31,1
3,5,0,0,0,0,0.16,0,0,0,0.24,0,0.27,0.33,0,0,0,0,0,0,2
4,0,0.19,0,0,0,0,0,0,0.22,0.21,0,0.16,0.22,0,0,0,0,0,0,2
7,1,0,0,0,0.3,0,0,0.32,0,0.16,0,0,0,0,0.22,0.52,0.53,0.56,0.39,1
1,1,0,0,0.19,0.23,0.32,0,0,0,0,0,0,0,0,0.26,0.45,0.22,0.8200000000000001,0.51,6
5,0,0,0,0.28,0,0,0,0,0,0,0,0,0.35,0.15,0.22,0,0,0,0,8
1,1,0,0,0,0.24,0.14,0,0,0.15,0,0.32,0.15,0,0,0,1.01,0.31,0.38,0.3,5
4,4,0.13,0,0,0,0,0.31,0,0.26,0.3,0,0,0,0,0,0,0,0,0,2
5,5,0,0,0,0,0.28,0.14,0,0,0.26,0.13,0,0,0,0.19,0,0,0,0,8
3,0,0,0,0,0.18,0,0.17,0,0.12,0.22,0,0,0.31,0,0,0,0,0,0,4
7,1,0,0,0,0,0.16,0.14,0.19,0,0,0,0.37,0.14,0,0,0.81,0.28,0.35,0.56,1
4,4,0,0.27,0,0,0,0,0.22,0.29,0,0,0.22,0,0,0,0,0,0,0,7
7,4,0,0,0.21,0,0.22,0.34,0,0,0.23,0,0,0,0,0,0,0,0,0,5
3,3,0,0.22,0,0.22,0,0,0.15,0,0,0,0.21,0,0.2,0,0.21,0.29,0.29,0.21,7
6,5,0,0,0,0,0,0.22,0,0.26,0,0,0.31,0.21,0,0,0,0,0,0,3
1,0,0,0,0.3,0,0.2,0,0.19,0,0,0,0,0,0.31,0,0,0,0,0,2
3,1,0.32,0,0,0.14,0,0,0,0,0.22,0,0.15,0,0,0.17,0.69,0.2,0.54,0.57,7
2,1,0,0.17,0.23,0.24,0,0,0,0,0,0.15,0,0.21,0,0,0.29,0.64,0.54,0.53,3
7,3,0.19,0.3,0,0,0,0.14,0,0.37,0,0,0,0,0,0,0.09,0.2,0.38,0.33,8
1,5,0.15,0.21,0,0,0.29,0,0,0,0,0.2,0,0.15,0,0,0,0,0,0,4
7,3,0,0,0,0.22,0,0,0.22,0,0.21,0.35000000000000003,0,0,0,0,0.32,0.22,0.08,0.38,8
7,2,0.1,0,0.16,0,0,0.17,0,0,0,0,0,0.28,0.29,0,0,0,0,0,8
2,1,0.16,0,0,0,0,0.18,0.33,0,0.33,0,0,0,0,0,0.4,0.44,0.27,0.89,6
6,5,0,0.31,0,0,0,0,0.24,0,0,0.25,0,0.2,0,0,0,0,0,0,6
4,2,0,0,0.15,0,0,0,0.21,0,0,0,0,0.12,0.34,0.18,0,0,0,0,3
3,4,0.17,0,0.18,0,0,0,0.23,0,0,0,0.22,0,0.2,0,0,0,0,0,3
5,2,0,0,0.24,0,0,0,0.21,0.34,0,0,0,0.21,0,0,0,0,0,0,7
4,3,0,0,0,0,0.22,0.2,0,0,0,0,0.32,0,0.26,0,0.46,0.27,0.15,0.12,2
7,2,0,0,0,0,0,0.19,0,0.18,0.21,0.17,0,0,0,0.25,0,0,0,0,3
6,0,0.27,0,0,0,0,0,0.23,0.26,0,0,0,0,0,0.24,0,0,0,0,5
2,0,0,0.22,0,0,0,0,0,0,0.3,0.21,0,0,0.27,0,0,0,0,0,8
6,0,0,0,0.29,0.25,0,0.14,0,0.15,0,0,0,0.17,0,0,0,0,0,0,7
3,0,0,0,0.34,0,0,0.2,0,0,0.26,0,0,0,0,0.2,0,0,0,0,4
6,1,0,0,0.28,0.17,0,0,0,0.14,0.18,0,0,0,0.23,0,0.5,0.43,0.54,0.53,4
2,1,0.28,0.26,0,0,0,0,0,0.19,0,0.27,0,0,0,0,0.59,0.47,0.35,0.59,5
7,2,0,0.27,0,0,0,0,0,0.2,0,0,0,0.29,0.24,0,0,0,0,0,6
2,4,0,0,0,0.28,0,0,0,0.17,0.27,0,0.11,0,0.17,0,0,0,0,0,2
1,2,0,0.2,0.21,0.27,0,0.2,0,0.12,0,0,0,0,0,0,0,0,0,0,7
3,0,0,0,0,0,0,0.18,0.21,0.25,0,0.16,0,0,0.2,0,0,0,0,0,7
2,0,0.18,0.26,0,0.26,0,0.15,0,0,0.15,0,0,0,0,0,0,0,0,0,6
2,3,0.14,0,0,0,0,0.23,0,0.18,0,0,0,0.21,0,0.24,0.11,0.41,0.38,0.1,7
7,3,0,0,0.21,0,0.14,0,0,0.29,0,0,0,0.36,0,0,0.32,0.27,0.25,0.16,4
1,1,0,0,0,0.21,0.18,0,0,0.16,0,0,0,0,0.21,0.24,0.21,0.63,0.78,0.38,5
